TrdExctnDtEOM,InstitutionalVolume,RetailVolume,InstitutionalTrades,RetailTrades,InstitutionalCusips,RetailCusips
2002-07-31,329811723910.0,6972609221.0,59549,188125,1992,2669
2002-08-31,222418718100.0,8168489304.0,56006,233620,2171,2955
2002-09-30,210848490268.0,7506179567.0,52453,216747,2089,2751
2002-10-31,283712855376.0,10156583375.0,74909,292852,2400,3121
2002-11-30,180754250200.0,7482889853.0,51370,216605,1872,2424
2002-12-31,171312551814.0,6959946821.0,43653,195752,1807,2385
2003-01-31,296221006833.0,9316471112.0,73642,268883,2571,3391
2003-02-28,222136251000.0,8378308622.0,62428,244651,2532,3409
2003-03-31,243067968002.0,9415669572.0,67231,269150,2293,2895
2003-04-30,251503393778.0,8893933317.0,70784,252739,2310,2984
2003-05-31,233484721390.0,8361637275.0,64908,228573,2508,3294
2003-06-30,236238681838.0,8266388599.0,62147,220933,2315,2956
2003-07-31,265413229355.0,8192142260.0,66944,225760,2386,3095
2003-08-31,187544645425.0,7220283293.0,52359,205368,2115,2731
2003-09-30,223455825914.0,7470994684.0,63999,202751,2391,2881
2003-10-31,247483327194.0,7983042827.0,70440,215834,2637,3356
2003-11-30,126473836000.0,5612877013.0,36595,159859,1370,1695
2003-12-31,170858901280.0,6841842003.0,44188,186242,1991,2541
2004-01-31,257824259641.0,7011920872.0,59510,191589,2462,3172
2004-02-29,190672269320.0,6318901171.0,52866,171333,2302,2883
2004-03-31,220818300314.0,7280482082.0,59643,192229,2375,2906
2004-04-30,211596110284.0,6729754764.0,53621,181832,2591,3310
2004-05-31,170671356949.0,6274159600.0,45882,177731,1837,2236
2004-06-30,182027428668.0,7354333563.0,48521,200882,2425,2903
2004-07-31,188199261060.0,6931274035.0,49952,195802,2410,2998
2004-08-31,180681748120.0,6671705462.0,44981,189130,2147,2602
2004-09-30,229547181390.0,6023020273.0,50336,166981,2321,2922
2004-10-31,214603609618.0,5671565643.0,53623,157135,2114,2632
2004-11-30,176417270721.0,6039999724.0,46576,163305,2107,2640
2004-12-31,154412799362.0,6801428380.0,40558,178643,2186,2788
2005-01-31,194583437000.0,7450749417.0,53614,196971,2233,2745
2005-02-28,193240672981.0,6843577423.0,49588,183385,2225,2747
2005-03-31,211141315436.0,9059702081.0,62032,245439,2445,3076
2005-04-30,197837220400.0,7922032952.0,57411,216690,2350,3007
2005-05-31,168800306800.0,7562726384.0,52393,211166,1742,2109
2005-06-30,222721785076.0,7390015321.0,56243,192023,2489,3040
2005-07-31,143574898736.0,5923801174.0,40826,154662,2158,2686
2005-08-31,133067221000.0,6257951426.0,40119,169524,2004,2534
2005-09-30,156002612652.0,6007038750.0,48410,157767,2537,3197
2005-10-31,161793869846.0,5885873847.0,47655,158233,2049,2564
2005-11-30,154903634888.0,6304197133.0,45416,171684,2214,2748
2005-12-31,108501324531.0,6420648053.0,33353,171965,1993,2554
2006-01-31,178055374918.0,6106388046.0,50552,164679,2214,2675
2006-02-28,144047377025.0,5631365280.0,43906,155951,2226,2691
2006-03-31,173716680138.0,6636625912.0,53063,182759,2552,3149
2006-04-30,134535354763.0,5161005022.0,37236,143875,2167,2684
2006-05-31,151739087200.0,5753315010.0,43460,156530,2069,2474
2006-06-30,140481927000.0,5784015382.0,42021,160911,2464,3101
2006-07-31,110703005747.0,4964278336.0,33655,137331,2108,2670
2006-08-31,131909379400.0,6285490852.0,40706,173246,2304,2875
2006-09-30,139732858716.0,5654601413.0,42948,148203,2480,3091
2006-10-31,143399769102.0,5706424969.0,42686,154668,2190,2666
2006-11-30,148957213500.0,5763684700.0,42803,153055,2369,3000
2006-12-31,101747358046.0,5107311663.0,28727,136718,1831,2246
2007-01-31,177189114950.0,5891135410.0,47467,160957,2302,2802
2007-02-28,131580188500.0,4783907002.0,36233,131524,2093,2623
2007-03-31,150327649205.0,5257974117.0,42971,141513,2308,2929
2007-04-30,125330155866.0,4639258569.0,35522,127761,2086,2566
2007-05-31,127724955043.0,5407097589.0,36517,147752,2103,2597
2007-06-30,130266952108.0,5784108653.0,36747,156074,2222,2822
2007-07-31,106461367000.0,4526222930.0,29957,128286,1803,2334
2007-08-31,122555156000.0,5158095787.0,34292,143661,2002,2717
2007-09-30,113005674000.0,5177079158.0,33337,136810,1901,2561
2007-10-31,127871430000.0,5315486807.0,36854,141794,2018,2584
2007-11-30,106340904000.0,5112343531.0,34942,135952,2115,2984
2007-12-31,80587853000.0,4912577412.0,25493,130615,1596,2101
2008-01-31,153504135960.0,6746791980.0,46954,184905,2198,2917
2008-02-29,141850735667.0,7303748264.0,43770,200611,2266,3016
2008-03-31,120133368000.0,6884237643.0,36923,192819,2003,2592
2008-04-30,154580872081.0,7365575712.0,44573,206652,2148,2673
2008-05-31,158376258000.0,7666823240.0,44746,210457,2383,3060
2008-06-30,118708451000.0,7149252902.0,36465,203466,2064,2578
2008-07-31,112946499212.0,7013547801.0,36081,209792,2233,2883
2008-08-31,84167904000.0,6974280600.0,27349,206759,1857,2420
2008-09-30,135554943912.0,8077090064.0,38233,231533,1781,2385
2008-10-31,169617920676.0,11487541611.0,52557,352237,2290,3067
2008-11-30,93409647500.0,8928645285.0,29969,282576,1467,1783
2008-12-31,122360759629.0,10949295739.0,39427,337130,2046,2646
2009-01-31,186294720162.0,13202719466.0,55269,411896,2472,3182
2009-02-28,172005885646.0,12738284686.0,54093,398349,2461,3196
2009-03-31,185734981500.0,16101262217.0,62845,526556,2336,2883
2009-04-30,192683557324.0,15044591105.0,60580,503567,2503,3052
2009-05-31,220658922460.0,14993347028.0,65307,475468,2495,3001
2009-06-30,230792961438.0,15121225518.0,65830,468712,2540,2973
2009-07-31,204599648270.0,14356314050.0,62214,440421,2789,3488
2009-08-31,171152742190.0,13126534139.0,53945,397371,2559,3077
2009-09-30,198427402036.0,13548343366.0,61024,395711,2791,3339
2009-10-31,199172878395.0,12608458344.0,61555,373598,2863,3480
2009-11-30,141881692295.0,10120262251.0,43480,297154,2285,2693
2009-12-31,146213870341.0,11289061789.0,47334,322985,2593,3251
2010-01-31,199127984250.0,11190407816.0,58417,320624,2778,3348
2010-02-28,176274665300.0,12027585395.0,55252,348971,2762,3403
2010-03-31,227292660804.0,14113326644.0,70267,401960,2917,3459
2010-04-30,197189932479.0,12461676669.0,60490,353372,3046,3818
2010-05-31,166608556922.0,10863197206.0,53148,311981,2370,2835
2010-06-30,164998892800.0,12450700350.0,55425,359650,2817,3454
2010-07-31,165986419224.0,11192793233.0,53072,324612,2930,3658
2010-08-31,183889744610.0,12943276608.0,55274,373729,2790,3414
2010-09-30,199418736446.0,12453330096.0,65288,353449,3198,3848
2010-10-31,195922631616.0,11683938155.0,58689,325127,2948,3529
2010-11-30,173464758142.0,10821030502.0,54834,306725,2833,3418
2010-12-31,147631499472.0,11489084678.0,49036,324790,2881,3615
2011-01-31,211322631459.0,11047740516.0,62874,315903,3007,3614
2011-02-28,207407498526.0,11186650864.0,60501,315814,2965,3565
2011-03-31,228876611262.0,13178050879.0,72900,369636,3208,3855
2011-04-30,174167408318.0,10300560990.0,54328,294305,3166,3886
2011-05-31,177779294954.0,10349588840.0,53810,289651,2713,3151
2011-06-30,203222057111.0,11652375748.0,63214,316173,3331,3923
2011-07-31,159872153101.0,8865913738.0,50011,245691,2858,3542
2011-08-31,208513456844.0,11377115149.0,66049,315088,3020,3619
2011-09-30,171508002392.0,10548405547.0,59898,289144,3257,4052
2011-10-31,187460331486.0,11769506136.0,64394,323642,3025,3593
2011-11-30,149466095103.0,11708832743.0,58610,319791,3120,3783
2011-12-31,123013342007.0,10970327157.0,47154,297981,2892,3500
2012-01-31,219948867144.0,13097743270.0,73901,354814,3281,3846
2012-02-29,217526742867.0,13422267862.0,70493,374909,3194,3877
2012-03-31,228123257533.0,15883950881.0,76783,442409,3431,4141
2012-04-30,176085791309.0,12654847510.0,63194,369515,3144,3766
2012-05-31,218065983635.0,13688076712.0,76214,387393,3221,3848
2012-06-30,193329431101.0,14010860969.0,71760,395081,3477,4143
2012-07-31,154455886983.0,12118053651.0,56600,347215,3135,3833
2012-08-31,176224715035.0,14107606781.0,64218,412049,3382,4204
2012-09-30,190190359272.0,12622003800.0,66770,348320,3271,3952
2012-10-31,181742794000.0,12047184430.0,62239,337339,2586,3016
2012-11-30,189497647734.0,13045963392.0,67839,358498,3722,4522
2012-12-31,136426073794.0,12078259861.0,50269,336278,2882,3470
2013-01-31,245561700076.0,16189896039.0,83537,446869,3654,4379
2013-02-28,207774325600.0,14693491989.0,70871,406163,3737,4489
2013-03-31,193380928600.0,13554503211.0,66592,375454,3177,3630
2013-04-30,212701012413.0,14483190166.0,73646,398876,3559,4157
2013-05-31,229466550486.0,14776443717.0,77827,416137,3788,4476
2013-06-30,215137423000.0,13870984846.0,78840,384769,3764,4357
2013-07-31,191705611525.0,13330721605.0,69681,386135,3574,4212
2013-08-31,150181902191.0,13052992515.0,57920,385473,3627,4366
2013-09-30,237431676247.0,13551851032.0,78435,392831,3636,4214
2013-10-31,238098374888.0,14266199693.0,80112,404659,3906,4575
2013-11-30,179198608961.0,11581978903.0,62425,342489,3313,3847
2013-12-31,149103232675.0,12124023927.0,54434,348637,3064,3658
2014-01-31,236887677760.0,14160149017.0,78411,407681,3922,4722
2014-02-28,227101078293.0,13371439789.0,73707,378589,3916,4778
2014-03-31,235720116199.0,14461488955.0,80560,398656,3710,4329
2014-04-30,218690254504.0,13583514352.0,73173,383527,3833,4514
2014-05-31,222506762400.0,13479839700.0,74464,373089,4003,4726
2014-06-30,212012272992.0,13774257023.0,71740,363736,3943,4622
2014-07-31,204105719000.0,12730555010.0,72521,345197,4001,4710
2014-08-31,164737578257.0,11273501279.0,58421,312705,3520,4186
2014-09-30,219299792145.0,13564013029.0,78164,353763,3825,4365
2014-10-31,252949827583.0,14201874948.0,89784,370930,4280,4977
2014-11-30,153541372710.0,10439760252.0,57217,278640,2722,3074
2014-12-31,183106373927.0,13546887739.0,67144,357404,3456,3944
2015-01-31,234672983200.0,13954046468.0,83033,357294,4193,4924
2015-02-28,263468252635.0,14299072520.0,89017,380408,4262,4952
2015-03-31,250501940100.0,15950152231.0,93867,406500,4117,4706
2015-04-30,225278012200.0,13983908030.0,81126,375491,4240,4902
2015-05-31,217979843000.0,13717408311.0,77741,369903,4115,4784
2015-06-30,232196443679.0,14906374960.0,84521,401133,4146,4684
2015-07-31,237472443982.0,14133977000.0,84115,383154,4336,5104
2015-08-31,205228603000.0,13795300662.0,72283,382639,4085,4765
2015-09-30,232091247700.0,14301038117.0,80739,378176,4155,4792
2015-10-31,269162800100.0,15925809383.0,92159,421631,4438,5109
2015-11-30,183279802820.0,13373581973.0,64624,373098,3669,4077
2015-12-31,173412315020.0,15041262648.0,66541,436413,3929,4617
2016-01-31,247812891032.0,16414873458.0,85582,458375,4297,4984
2016-02-29,275161220000.0,17897517583.0,93813,499144,4284,4892
2016-03-31,319213782531.0,21430977541.0,107529,579860,4670,5316
2016-04-30,269241980367.0,17659353516.0,91423,490974,4533,5276
2016-05-31,230228897382.0,17340043459.0,84946,490333,3911,4424
2016-06-30,238360030387.0,17969701981.0,91506,487591,4556,5271
2016-07-31,220896235534.0,14462503964.0,78283,389003,4194,4938
2016-08-31,226178828626.0,16152385283.0,81733,429546,4319,5048
2016-09-30,228099178494.0,15121335698.0,83633,396348,4642,5517
2016-10-31,244647717700.0,14381188910.0,86504,371948,4408,5094
2016-11-30,241155075027.0,15409963924.0,87409,405179,4672,5373
2016-12-31,178793712444.0,16326840600.0,65552,433455,4146,4894
2017-01-31,272373631554.0,17245235992.0,88570,465405,4619,5330
2017-02-28,254217606429.0,16829962817.0,84257,460136,4568,5260
2017-03-31,309329157069.0,20714832784.0,105867,547580,5138,5782
2017-04-30,198493273087.0,14848071514.0,68752,404738,4551,5226
2017-05-31,265177602015.0,17240662361.0,88482,456955,4338,4882
2017-06-30,238015699070.0,17479615240.0,81660,458012,4852,5702
2017-07-31,212601013920.0,14408218286.0,70382,372652,4386,5100
2017-08-31,221459685450.0,18233459819.0,77630,455121,4581,5362
2017-09-30,224057716428.0,16422860696.0,78805,407187,4739,5542
2017-10-31,252141016875.0,17068607851.0,81970,439245,4562,5257
2017-11-30,251029458039.0,17659362193.0,85275,455037,4862,5689
2017-12-31,145533493336.0,15613930970.0,55166,413750,4051,4688
2018-01-31,264058930500.0,19877885846.0,87303,532676,4713,5469
2018-02-28,267731104320.0,18781106205.0,88546,485652,4760,5436
2018-03-31,241783971169.0,19973895815.0,84068,502598,4721,5302
2018-04-30,248605297525.0,18947913927.0,82821,504616,4792,5463
2018-05-31,249042328997.0,19934614532.0,84298,534822,4754,5432
2018-06-30,241610445385.0,19279678031.0,83702,510288,4996,5699
2018-07-31,201229602000.0,18187955520.0,70360,489578,4728,5378
2018-08-31,206079801987.0,19887524618.0,75165,538081,4804,5676
2018-09-30,213504164261.0,18294254546.0,73372,472934,4798,5522
2018-10-31,279824447511.0,22178462472.0,99051,566101,4935,5515
2018-11-30,242461263197.0,21221894977.0,88490,543450,5161,5937
2018-12-31,167680451777.0,19050693955.0,67973,497571,4343,4965
2019-01-31,328767712683.0,24085158916.0,111012,633047,5077,5864
2019-02-28,289689675849.0,22140857150.0,98416,576981,5029,5784
2019-03-31,289927339020.0,22732470071.0,96097,576163,4938,5563
2019-04-30,267886745206.0,21489661524.0,91260,556521,4859,5544
2019-05-31,255104139926.0,22029963458.0,93763,559735,5036,5788
2019-06-30,266213725036.0,20524395686.0,98251,511207,4949,5645
2019-07-31,243741740670.0,21055949012.0,89354,543026,4828,5528
2019-08-31,225390993741.0,20490572846.0,87136,524891,4907,5770
2019-09-30,277079003016.0,20478306087.0,99235,499407,5022,5715
2019-10-31,272207567876.0,21718329931.0,102763,544413,5138,5897
2019-11-30,222790096849.0,18930060238.0,82171,476678,4623,5278
2019-12-31,184073835369.0,19342901677.0,75652,490856,4287,4879
2020-01-31,282072779937.0,21872475581.0,107221,532664,5137,6009
2020-02-29,278535874130.0,19285490634.0,101531,476700,4899,5822
2020-03-31,441428216101.0,24821551145.0,155180,631562,5028,5744
2020-04-30,434177701445.0,24052212493.0,151638,608904,5261,6070
2020-05-31,395843382861.0,21238731132.0,138912,526248,5219,5957
2020-06-30,377682213483.0,22895694248.0,140636,546862,5286,5931
2020-07-31,268764256606.0,19520526907.0,109328,477451,5367,6316
2020-08-31,287688109737.0,18289229498.0,105647,452797,5016,5889
2020-09-30,268169339122.0,18878237777.0,105596,448262,5221,6022
2020-10-31,275007476913.0,18950958246.0,112721,449454,5331,6177
2020-11-30,262016173358.0,16861239795.0,103971,409427,4793,5366
2020-12-31,227637429205.0,19763225388.0,98727,479725,4949,5725
2021-01-31,309792681448.0,19838738664.0,115511,475318,5251,6041
2021-02-28,285851547331.0,19979279741.0,110372,486274,5226,6036
2021-03-31,395910289923.0,25611008594.0,151787,607426,5452,6140
2021-04-30,269149080301.0,20918857826.0,111681,505428,5377,6230
2021-05-31,249411176254.0,18171670310.0,94996,433414,4740,5318
2021-06-30,279836513840.0,21309717182.0,111220,501165,5347,6012
2021-07-31,219947868674.0,17405578204.0,91892,418798,5227,5997
2021-08-31,233934524597.0,17460751523.0,93676,432324,5175,5901
2021-09-30,267167713211.0,18055812747.0,101362,441885,5428,6207
2021-10-31,243386152871.0,17859677234.0,95877,423044,5388,6039
2021-11-30,242736924782.0,18480424283.0,94469,441081,5264,5885
2021-12-31,187292621150.0,19312419517.0,83237,483350,5043,5861
2022-01-31,261681667905.0,20559293818.0,102969,516214,5215,5898
2022-02-28,268400273731.0,20919291139.0,100801,513227,5204,5891
2022-03-31,322931118133.0,28133785202.0,123972,683663,5563,6245
2022-04-30,252080861252.0,26412869524.0,102703,667366,5460,6203
2022-05-31,284695539781.0,27883657083.0,113972,724922,5302,5769
2022-06-30,280134661815.0,31742148941.0,114154,800128,5596,6317
2022-07-31,198222380860.0,25574161270.0,87304,642803,5215,5864
2022-08-31,213505235773.0,29422323524.0,96242,753363,5259,5972
2022-09-30,220466174401.0,30548837685.0,100939,770266,5498,6338
